edge_idx,source,source_role,relationship,edge_rank,target,target_role,year,url
1326,Karl Nell,military,collaborated_with,1,Christopher Mellon,whistleblower,2023–2025,
1327,Diana Pasulka,author,collaborated_with,1,Lue Elizondo,whistleblower,2024–2025,
1328,Hal Puthoff,scientist,collaborated_with,1,Jay Stratton,scientist,2007–2012,
1329,Eric Davis,scientist,collaborated_with,1,Jay Stratton,scientist,2007–2012,
1330,David Grusch,military,collaborated_with,1,Karl Nell,military,2023–2025,
1331,Garry Nolan,scientist,collaborated_with,1,Peter Skafish,scientist,2023–2025,
1332,Jeremy Corbell,author,collaborated_with,2,Shawn Ryan,podcast,2023–2025,
1333,Ross Coulthart,author,collaborated_with,1,Lue Elizondo,whistleblower,2023–2025,
1334,Sol Foundation,civ org,collaborated_with,2,New Paradigm Institute,civ org,2024–2025,
1335,Sol Foundation,civ org,collaborated_with,2,UAP Disclosure Fund,civ org,2024–2025,
1336,Steven Greer,author,publicly_criticized,2,Lue Elizondo,whistleblower,2023–2025,
1337,Lue Elizondo,whistleblower,publicly_distanced_from,2,Steven Greer,author,2023–2025,
1338,Steven Greer,author,publicly_criticized,2,Michael Shellenberger,author,2024–2025,
1339,,#N/A,,,,#N/A,,
1340,,#N/A,,,,#N/A,,
1341,,#N/A,,,,#N/A,,
1342,,#N/A,,,,#N/A,,
1343,,#N/A,,,,#N/A,,
1344,,#N/A,,,,#N/A,,
1345,,#N/A,,,,#N/A,,
1346,,#N/A,,,,#N/A,,
1347,,#N/A,,,,#N/A,,
1348,,#N/A,,,,#N/A,,
1349,,#N/A,,,,#N/A,,
1350,,#N/A,,,,#N/A,,
1351,,#N/A,,,,#N/A,,
1352,,#N/A,,,,#N/A,,
1353,,#N/A,,,,#N/A,,
1354,,#N/A,,,,#N/A,,
1355,,#N/A,,,,#N/A,,
1356,,#N/A,,,,#N/A,,
1357,,#N/A,,,,#N/A,,
1358,,#N/A,,,,#N/A,,
1359,,#N/A,,,,#N/A,,
1360,,#N/A,,,,#N/A,,
1361,,#N/A,,,,#N/A,,
1362,,#N/A,,,,#N/A,,
1363,,#N/A,,,,#N/A,,
1364,,#N/A,,,,#N/A,,
1365,,#N/A,,,,#N/A,,
1366,,#N/A,,,,#N/A,,
1367,,#N/A,,,,#N/A,,
1368,,#N/A,,,,#N/A,,
1369,,#N/A,,,,#N/A,,
1370,,#N/A,,,,#N/A,,
1371,,#N/A,,,,#N/A,,
1372,,#N/A,,,,#N/A,,
1373,,#N/A,,,,#N/A,,
1374,,#N/A,,,,#N/A,,
1375,,#N/A,,,,#N/A,,
1376,,#N/A,,,,#N/A,,
1377,,#N/A,,,,#N/A,,
1378,,#N/A,,,,#N/A,,
1379,,#N/A,,,,#N/A,,
1380,,#N/A,,,,#N/A,,
1381,,#N/A,,,,#N/A,,
1382,,#N/A,,,,#N/A,,
1383,,#N/A,,,,#N/A,,
1384,,#N/A,,,,#N/A,,
1385,,#N/A,,,,#N/A,,
1386,,#N/A,,,,#N/A,,
1387,,#N/A,,,,#N/A,,
1388,,#N/A,,,,#N/A,,
1389,,#N/A,,,,#N/A,,
1390,,#N/A,,,,#N/A,,
1391,,#N/A,,,,#N/A,,
1392,,#N/A,,,,#N/A,,
1393,,#N/A,,,,#N/A,,
1394,,#N/A,,,,#N/A,,
1395,,#N/A,,,,#N/A,,
1396,,#N/A,,,,#N/A,,
1397,,#N/A,,,,#N/A,,
1398,,#N/A,,,,#N/A,,
1399,,#N/A,,,,#N/A,,
1400,,#N/A,,,,#N/A,,
1401,,#N/A,,,,#N/A,,
1402,,#N/A,,,,#N/A,,
1403,,#N/A,,,,#N/A,,
1404,,#N/A,,,,#N/A,,
1405,,#N/A,,,,#N/A,,
1406,,#N/A,,,,#N/A,,
1407,,#N/A,,,,#N/A,,
1408,,#N/A,,,,#N/A,,
1409,,#N/A,,,,#N/A,,
1410,,#N/A,,,,#N/A,,
1411,,#N/A,,,,#N/A,,
1412,,#N/A,,,,#N/A,,
1413,,#N/A,,,,#N/A,,
1414,,#N/A,,,,#N/A,,
1415,,#N/A,,,,#N/A,,
1416,,#N/A,,,,#N/A,,
1417,,#N/A,,,,#N/A,,
1418,,#N/A,,,,#N/A,,
1419,,#N/A,,,,#N/A,,
1420,,#N/A,,,,#N/A,,
1421,,#N/A,,,,#N/A,,
